time,latitude,longitude,fe
2021-11-01,20.0,87.0,0.001855535
2021-11-01,20.0,90.5,0.001618276
2021-11-01,21.5,87.25,0.005208004
2021-11-01,21.25,91.0,0.0049561444
2021-11-01,20.0,90.75,0.0017101036
2021-11-01,21.25,90.75,0.005539614
2021-11-01,21.25,90.5,0.005553224
2021-11-01,20.0,91.0,0.0018449929
2021-11-01,21.25,90.25,0.007353726
2021-11-01,21.25,90.0,0.007577009
2021-11-01,20.25,87.0,0.0023873304
2021-11-01,21.25,89.75,0.00531908
2021-11-01,21.25,89.5,0.0040300055
2021-11-01,20.25,87.25,0.002018175
2021-11-01,21.25,89.25,0.0035473357
2021-11-01,21.25,89.0,0.0033818681
2021-11-01,20.25,87.5,0.0019560724
2021-11-01,21.25,88.75,0.003267203
2021-11-01,21.25,88.5,0.0029878812
2021-11-01,20.25,87.75,0.0018106761
2021-11-01,21.25,88.25,0.0031205802
2021-11-01,21.25,88.0,0.003110481
2021-11-01,20.25,88.0,0.0017170608
2021-11-01,21.25,87.75,0.003239209
2021-11-01,21.25,87.5,0.0029907515
2021-11-01,20.25,88.25,0.0016601335
2021-11-01,21.25,87.25,0.003241581
2021-11-01,21.25,87.0,0.004819517
2021-11-01,21.5,87.5,0.004490516
2021-11-01,20.25,88.5,0.0016107295
2021-11-01,21.5,87.75,0.004134022
2021-11-01,21.5,88.0,0.004280877
2021-11-01,20.0,88.0,0.0016173216
2021-11-01,21.75,90.0,0.004787951
2021-11-01,21.75,89.75,0.004938199
2021-11-01,20.0,88.25,0.0015966956
2021-11-01,21.75,89.5,0.0051601892
2021-11-01,21.75,88.0,0.005819525
2021-11-01,20.0,88.5,0.0015528091
2021-11-01,21.75,87.75,0.0067720846
2021-11-01,21.5,91.0,0.0075769126
2021-11-01,20.0,88.75,0.0015039984
2021-11-01,21.5,90.75,0.008065992
2021-11-01,22.25,91.0,0.011049893
2021-11-01,21.5,90.5,0.008299977
2021-11-01,20.0,89.0,0.0014638394
2021-11-01,21.5,90.25,0.008599059
2021-11-01,21.5,90.0,0.005339811
2021-11-01,20.0,89.25,0.0014488068
2021-11-01,21.5,89.75,0.0042111655
2021-11-01,21.5,89.5,0.0036083807
2021-11-01,20.0,89.5,0.0014405722
2021-11-01,21.5,89.25,0.0033806534
2021-11-01,21.5,89.0,0.0038407114
2021-11-01,20.0,89.75,0.001453389
2021-11-01,21.5,88.75,0.0043274905
2021-11-01,21.5,88.5,0.004739857
2021-11-01,20.0,90.0,0.0014956744
2021-11-01,21.5,88.25,0.0040248227
2021-11-01,20.0,90.25,0.0015517005
2021-11-01,21.0,91.0,0.0031335917
2021-11-01,21.0,90.75,0.0033414972
2021-11-01,20.25,88.75,0.0015679891
2021-11-01,20.75,89.5,0.0023295013
2021-11-01,20.5,87.25,0.002218818
2021-11-01,20.75,89.25,0.0023319654
2021-11-01,20.75,89.0,0.002377003
2021-11-01,20.5,87.5,0.0022115568
2021-11-01,20.75,88.75,0.0025037348
2021-11-01,20.75,88.5,0.0025779414
2021-11-01,22.5,91.0,0.005690359
