time,latitude,longitude,kd
2023-11-01,20.0,87.0,0.068661086
2023-11-01,21.5,88.75,0.08592089
2023-11-01,20.25,89.5,0.05547204
2023-11-01,21.5,88.5,0.118785515
2023-11-01,22.5,90.75,0.3794535
2023-11-01,20.25,89.75,0.056054734
2023-11-01,21.5,88.25,0.13556917
2023-11-01,20.25,90.0,0.057641603
2023-11-01,20.25,90.25,0.057848487
2023-11-01,21.5,88.0,0.13382603
2023-11-01,20.25,90.5,0.050114587
2023-11-01,21.5,87.75,0.12905668
2023-11-01,22.0,90.5,0.30449957
2023-11-01,20.25,89.25,0.05147802
2023-11-01,20.25,90.75,0.04552355
2023-11-01,20.25,91.0,0.045073
2023-11-01,20.5,87.0,0.076241545
2023-11-01,21.5,87.25,0.06830935
2023-11-01,20.5,87.25,0.05581015
2023-11-01,21.25,91.0,0.1580009
2023-11-01,20.5,87.5,0.05388404
2023-11-01,20.5,87.75,0.056257967
2023-11-01,21.25,90.75,0.14364085
2023-11-01,20.5,88.0,0.062093407
2023-11-01,20.5,88.25,0.057335205
2023-11-01,21.25,90.5,0.12871395
2023-11-01,20.5,88.5,0.057297517
2023-11-01,21.5,87.5,0.09061437
2023-11-01,21.25,90.25,0.13980411
2023-11-01,20.25,89.0,0.04817916
2023-11-01,20.25,88.75,0.047415067
2023-11-01,21.75,88.0,0.119265124
2023-11-01,21.75,91.0,0.3728481
2023-11-01,20.0,89.5,0.049098164
2023-11-01,21.75,87.75,0.14212936
2023-11-01,20.0,89.75,0.05244137
2023-11-01,20.0,90.0,0.05337516
2023-11-01,21.5,91.0,0.27868035
2023-11-01,22.5,91.0,0.37164706
2023-11-01,20.0,90.25,0.05430282
2023-11-01,20.0,90.5,0.058702216
2023-11-01,21.5,90.75,0.27442315
2023-11-01,20.0,90.75,0.049747206
2023-11-01,21.5,89.0,0.07152432
2023-11-01,21.5,90.5,0.3402466
2023-11-01,21.5,90.25,0.24997866
2023-11-01,20.25,87.0,0.06884699
2023-11-01,20.25,87.25,0.061937656
2023-11-01,21.5,90.0,0.13956283
2023-11-01,20.25,87.5,0.057208788
2023-11-01,21.5,89.75,0.12653156
2023-11-01,20.25,87.75,0.0665289
2023-11-01,20.25,88.0,0.0583708
2023-11-01,21.5,89.5,0.108928524
2023-11-01,20.25,88.25,0.05131644
2023-11-01,20.25,88.5,0.047970057
2023-11-01,21.5,89.25,0.07193526
2023-11-01,20.0,91.0,0.045700014
2023-11-01,20.5,88.75,0.057673723
2023-11-01,20.5,89.0,0.055038884
2023-11-01,21.25,90.0,0.12949987
2023-11-01,20.75,89.25,0.057547998
2023-11-01,21.25,87.0,0.05989157
2023-11-01,20.75,89.5,0.060710583
2023-11-01,21.0,91.0,0.09124838
2023-11-01,20.75,89.75,0.06006531
2023-11-01,20.75,90.0,0.049578756
2023-11-01,21.0,90.75,0.07068167
2023-11-01,20.75,90.25,0.044685647
2023-11-01,21.0,90.5,0.05831336
2023-11-01,20.75,90.5,0.045377407
2023-11-01,20.75,90.75,0.05129389
2023-11-01,21.0,90.25,0.051763874
2023-11-01,20.75,89.0,0.05672297
2023-11-01,20.75,91.0,0.0596969
2023-11-01,21.0,87.0,0.07957064
2023-11-01,21.0,87.25,0.05946266
2023-11-01,21.0,89.75,0.08151687
2023-11-01,21.0,87.5,0.062800124
2023-11-01,21.0,89.5,0.07592807
2023-11-01,21.0,87.75,0.07255621
