time,latitude,longitude,o2
2021-11-01,20.0,87.0,215.3221
2021-11-01,20.0,90.5,207.72198
2021-11-01,21.5,87.25,228.24277
2021-11-01,21.25,91.0,233.07146
2021-11-01,20.0,90.75,207.56206
2021-11-01,21.25,90.75,239.93814
2021-11-01,21.25,90.5,242.07271
2021-11-01,20.0,91.0,207.59093
2021-11-01,21.25,90.25,250.86198
2021-11-01,21.25,90.0,249.57176
2021-11-01,20.25,87.0,220.03261
2021-11-01,21.25,89.75,235.62453
2021-11-01,21.25,89.5,226.75931
2021-11-01,20.25,87.25,216.75284
2021-11-01,21.25,89.25,224.37921
2021-11-01,21.25,89.0,223.82619
2021-11-01,20.25,87.5,215.01018
2021-11-01,21.25,88.75,224.46693
2021-11-01,21.25,88.5,227.39241
2021-11-01,20.25,87.75,213.02882
2021-11-01,21.25,88.25,230.59244
2021-11-01,21.25,88.0,232.58357
2021-11-01,20.25,88.0,212.40674
2021-11-01,21.25,87.75,231.71046
2021-11-01,21.25,87.5,229.18095
2021-11-01,20.25,88.25,212.13802
2021-11-01,21.25,87.25,227.3721
2021-11-01,21.25,87.0,225.33646
2021-11-01,21.5,87.5,231.2439
2021-11-01,20.25,88.5,211.84714
2021-11-01,21.5,87.75,233.02623
2021-11-01,21.5,88.0,235.02151
2021-11-01,20.0,88.0,211.51106
2021-11-01,21.75,90.0,239.72046
2021-11-01,21.75,89.75,235.22499
2021-11-01,20.0,88.25,211.23445
2021-11-01,21.75,89.5,229.15405
2021-11-01,21.75,88.0,230.56146
2021-11-01,20.0,88.5,210.98698
2021-11-01,21.75,87.75,230.03192
2021-11-01,21.5,91.0,265.8011
2021-11-01,20.0,88.75,210.65718
2021-11-01,21.5,90.75,279.122
2021-11-01,22.25,91.0,370.75598
2021-11-01,21.5,90.5,281.77585
2021-11-01,20.0,89.0,210.06282
2021-11-01,21.5,90.25,274.32605
2021-11-01,21.5,90.0,246.9822
2021-11-01,20.0,89.25,209.41322
2021-11-01,21.5,89.75,235.05379
2021-11-01,21.5,89.5,229.25941
2021-11-01,20.0,89.5,208.96437
2021-11-01,21.5,89.25,224.7726
2021-11-01,21.5,89.0,222.26743
2021-11-01,20.0,89.75,208.66647
2021-11-01,21.5,88.75,223.45528
2021-11-01,21.5,88.5,226.8575
2021-11-01,20.0,90.0,208.40477
2021-11-01,21.5,88.25,231.29872
2021-11-01,20.0,90.25,208.075
2021-11-01,21.0,91.0,215.72798
2021-11-01,21.0,90.75,217.04271
2021-11-01,20.25,88.75,211.38927
2021-11-01,20.75,89.5,215.31395
2021-11-01,20.5,87.25,220.18327
2021-11-01,20.75,89.25,215.87753
2021-11-01,20.75,89.0,216.0223
2021-11-01,20.5,87.5,218.81717
2021-11-01,20.75,88.75,216.70189
2021-11-01,20.75,88.5,217.74104
2021-11-01,22.5,91.0,352.6898
2021-11-01,20.5,87.75,216.68492
2021-11-01,20.75,88.25,219.0449
2021-11-01,20.75,88.0,221.11552
2021-11-01,20.5,88.0,215.1375
2021-11-01,20.75,87.75,223.70016
2021-11-01,20.75,87.5,224.6379
2021-11-01,20.5,88.25,214.50911
2021-11-01,20.75,87.25,224.08073
2021-11-01,20.75,87.0,226.44246
2021-11-01,20.5,88.5,214.1463
2021-11-01,20.5,91.0,207.91412
2021-11-01,20.5,90.75,208.70215
2021-11-01,20.5,88.75,213.7564
2021-11-01,20.5,90.5,209.32623
2021-11-01,20.5,90.25,209.68196
2021-11-01,20.5,89.0,213.24364
2021-11-01,20.5,90.0,210.1658
2021-11-01,20.5,89.75,211.01387
2021-11-01,20.5,89.25,212.69635
2021-11-01,20.75,89.75,214.29576
2021-11-01,20.5,87.0,224.02034
2021-11-01,20.75,90.0,212.49696
2021-11-01,20.75,90.25,210.67833
2021-11-01,21.0,90.5,217.47798
2021-11-01,21.0,90.25,219.56564
2021-11-01,20.25,89.0,210.74246
2021-11-01,21.0,90.0,221.09206
2021-11-01,21.0,89.75,219.35625
2021-11-01,20.25,89.25,210.2942
2021-11-01,21.0,89.5,218.33745
2021-11-01,21.0,89.25,218.36282
2021-11-01,22.5,90.75,329.0965
2021-11-01,20.25,89.5,210.16933
2021-11-01,21.0,89.0,219.27707
2021-11-01,21.0,88.75,220.59349
2021-11-01,20.25,89.75,209.73532
2021-11-01,21.75,90.25,267.7942
2021-11-01,21.0,88.5,222.87129
2021-11-01,20.25,90.0,209.2169
2021-11-01,21.0,88.0,228.07304
2021-11-01,21.0,87.75,229.22519
2021-11-01,20.25,90.25,208.95927
2021-11-01,21.0,87.5,227.80467
2021-11-01,21.0,87.25,225.76805
2021-11-01,20.25,90.5,208.80057
2021-11-01,21.0,87.0,227.09062
2021-11-01,20.75,91.0,209.48917
2021-11-01,20.25,90.75,208.68776
2021-11-01,20.75,90.75,210.41098
2021-11-01,20.75,90.5,210.49141
2021-11-01,20.25,91.0,208.07893
2021-11-01,21.0,88.25,225.72118
2021-11-01,21.75,90.5,288.73807
2021-11-01,20.5,89.5,212.09633
2021-11-01,21.75,90.75,295.42416
2021-11-01,22.0,90.5,282.15652
2021-11-01,20.0,87.25,213.61607
2021-11-01,20.0,87.75,211.73515
2021-11-01,21.75,91.0,293.43484
2021-11-01,22.25,90.75,330.847
2021-11-01,22.0,91.0,321.91272
2021-11-01,22.0,90.75,307.50827
2021-11-01,20.0,87.5,212.3575
2021-12-01,20.0,87.5,211.26326
2021-12-01,21.25,89.5,223.48788
2021-12-01,20.25,87.25,218.33424
2021-12-01,21.25,89.75,225.6874
2021-12-01,21.25,89.25,223.24434
2021-12-01,21.25,89.0,223.29356
2021-12-01,20.25,87.0,224.03212
2021-12-01,20.25,87.5,213.19511
2021-12-01,21.0,91.0,228.45715
2021-12-01,21.25,90.0,232.72519
2021-12-01,21.25,88.5,229.40825
2021-12-01,20.25,87.75,211.87029
2021-12-01,21.25,88.25,233.88223
2021-12-01,21.25,88.0,236.43909
2021-12-01,20.25,88.0,211.70665
2021-12-01,21.25,87.75,234.44843
2021-12-01,20.5,89.5,213.5095
2021-12-01,20.25,88.25,211.55038
2021-12-01,21.25,87.25,230.35934
2021-12-01,21.25,87.0,231.4316
2021-12-01,20.25,88.5,211.36308
2021-12-01,21.0,90.75,226.39467
2021-12-01,22.0,90.75,282.50327
2021-12-01,21.25,88.75,224.96315
2021-12-01,22.0,90.5,264.60947
2021-12-01,20.0,91.0,209.2525
2021-12-01,21.25,90.5,236.79922
2021-12-01,21.75,90.75,272.76346
2021-12-01,20.0,88.75,211.19977
2021-12-01,21.5,90.75,264.62543
2021-12-01,21.5,90.5,260.42197
2021-12-01,22.25,91.0,325.51956
2021-12-01,20.0,89.0,211.92635
2021-12-01,21.5,90.25,251.62834
2021-12-01,21.5,90.0,235.81583
2021-12-01,20.0,89.25,212.5284
2021-12-01,21.5,89.75,229.47366
2021-12-01,21.5,89.5,226.3564
2021-12-01,20.0,89.5,212.74771
2021-12-01,21.5,89.25,224.35445
2021-12-01,21.5,89.0,223.22318
2021-12-01,21.75,91.0,276.88052
2021-12-01,20.0,89.75,212.60829
2021-12-01,21.5,88.75,225.78741
2021-12-01,21.5,88.5,230.3975
2021-12-01,20.0,90.0,211.89882
2021-12-01,21.5,88.25,237.42142
2021-12-01,21.5,88.0,240.44421
2021-12-01,20.0,90.25,210.81325
2021-12-01,21.5,87.75,236.90184
2021-12-01,21.5,87.5,234.52332
2021-12-01,20.0,90.5,209.68498
2021-12-01,21.5,87.25,233.62086
2021-12-01,21.25,91.0,242.56422
2021-12-01,20.0,90.75,209.0122
2021-12-01,21.25,90.75,240.01453
