time,latitude,longitude,ph
2021-11-01,20.0,87.0,8.131263
2021-11-01,20.0,90.5,8.077786
2021-11-01,21.5,87.25,8.247942
2021-11-01,21.25,91.0,8.2307415
2021-11-01,20.0,90.75,8.077487
2021-11-01,21.25,90.75,8.250739
2021-11-01,21.25,90.5,8.258883
2021-11-01,20.0,91.0,8.07746
2021-11-01,21.25,90.25,8.223935
2021-11-01,21.25,90.0,8.181468
2021-11-01,20.25,87.0,8.168729
2021-11-01,21.25,89.75,8.1839285
2021-11-01,21.25,89.5,8.175115
2021-11-01,20.25,87.25,8.142277
2021-11-01,21.25,89.25,8.176594
2021-11-01,21.25,89.0,8.18236
2021-11-01,20.25,87.5,8.118692
2021-11-01,21.25,88.75,8.195247
2021-11-01,21.25,88.5,8.248712
2021-11-01,20.25,87.75,8.103034
2021-11-01,21.25,88.25,8.286754
2021-11-01,21.25,88.0,8.305816
2021-11-01,20.25,88.0,8.096097
2021-11-01,21.25,87.75,8.296618
2021-11-01,21.25,87.5,8.25921
2021-11-01,20.25,88.25,8.09248
2021-11-01,21.25,87.25,8.232705
2021-11-01,21.25,87.0,8.227947
2021-11-01,21.5,87.5,8.269736
2021-11-01,20.25,88.5,8.090086
2021-11-01,21.5,87.75,8.29395
2021-11-01,21.5,88.0,8.321145
2021-11-01,20.0,88.0,8.089793
2021-11-01,21.75,90.0,8.245251
2021-11-01,21.75,89.75,8.241522
2021-11-01,20.0,88.25,8.086909
2021-11-01,21.75,89.5,8.206604
2021-11-01,21.75,88.0,8.2981
2021-11-01,20.0,88.5,8.085281
2021-11-01,21.75,87.75,8.279623
2021-11-01,21.5,91.0,8.352457
2021-11-01,20.0,88.75,8.083558
2021-11-01,21.5,90.75,8.366016
2021-11-01,22.25,91.0,8.50533
2021-11-01,21.5,90.5,8.342587
2021-11-01,20.0,89.0,8.082505
2021-11-01,21.5,90.25,8.273974
2021-11-01,21.5,90.0,8.241553
2021-11-01,20.0,89.25,8.082548
2021-11-01,21.5,89.75,8.213864
2021-11-01,21.5,89.5,8.207964
2021-11-01,20.0,89.5,8.083569
2021-11-01,21.5,89.25,8.1856365
2021-11-01,21.5,89.0,8.17438
2021-11-01,20.0,89.75,8.082963
2021-11-01,21.5,88.75,8.19127
2021-11-01,21.5,88.5,8.242313
2021-11-01,20.0,90.0,8.08121
2021-11-01,21.5,88.25,8.305965
2021-11-01,20.0,90.25,8.0792675
2021-11-01,21.0,91.0,8.138105
2021-11-01,21.0,90.75,8.147648
2021-11-01,20.25,88.75,8.08825
2021-11-01,20.75,89.5,8.119266
2021-11-01,20.5,87.25,8.176736
2021-11-01,20.75,89.25,8.119705
2021-11-01,20.75,89.0,8.121118
2021-11-01,20.5,87.5,8.154808
2021-11-01,20.75,88.75,8.125696
2021-11-01,20.75,88.5,8.135393
2021-11-01,22.5,91.0,8.359527
2021-11-01,20.5,87.75,8.132277
2021-11-01,20.75,88.25,8.147459
2021-11-01,20.75,88.0,8.169863
2021-11-01,20.5,88.0,8.119983
2021-11-01,20.75,87.75,8.195692
2021-11-01,20.75,87.5,8.213378
2021-11-01,20.5,88.25,8.112441
2021-11-01,20.75,87.25,8.211824
2021-11-01,20.75,87.0,8.220438
