time,latitude,longitude,si
2021-11-01,20.0,87.0,4.4504123
2021-11-01,20.0,90.5,4.963658
2021-11-01,21.5,87.25,3.7084215
2021-11-01,21.25,91.0,34.823887
2021-11-01,20.0,90.75,5.136565
2021-11-01,21.25,90.75,41.289112
2021-11-01,21.25,90.5,39.525105
2021-11-01,20.0,91.0,5.3907795
2021-11-01,21.25,90.25,26.665533
2021-11-01,21.25,90.0,16.589285
2021-11-01,20.25,87.0,4.195496
2021-11-01,21.25,89.75,10.099938
2021-11-01,21.25,89.5,8.3230295
2021-11-01,20.25,87.25,4.6873984
2021-11-01,21.25,89.25,7.079982
2021-11-01,21.25,89.0,5.9242883
2021-11-01,20.25,87.5,5.0389075
2021-11-01,21.25,88.75,4.5421724
2021-11-01,21.25,88.5,3.4061043
2021-11-01,20.25,87.75,5.115163
2021-11-01,21.25,88.25,3.4825318
2021-11-01,21.25,88.0,3.4597843
2021-11-01,20.25,88.0,4.993643
2021-11-01,21.25,87.75,2.971419
2021-11-01,21.25,87.5,2.4689674
2021-11-01,20.25,88.25,4.8276296
2021-11-01,21.25,87.25,2.584729
2021-11-01,21.25,87.0,3.4349148
2021-11-01,21.5,87.5,3.5137303
2021-11-01,20.25,88.5,4.7025356
2021-11-01,21.5,87.75,3.9500062
2021-11-01,21.5,88.0,4.5828266
2021-11-01,20.0,88.0,4.765666
2021-11-01,21.75,90.0,12.925158
2021-11-01,21.75,89.75,8.463087
2021-11-01,20.0,88.25,4.7926416
2021-11-01,21.75,89.5,6.604278
2021-11-01,21.75,88.0,4.7761073
2021-11-01,20.0,88.5,4.7149954
2021-11-01,21.75,87.75,4.6269608
2021-11-01,21.5,91.0,61.972828
2021-11-01,20.0,88.75,4.5838065
2021-11-01,21.5,90.75,71.645874
2021-11-01,22.25,91.0,64.83103
2021-11-01,21.5,90.5,62.260227
2021-11-01,20.0,89.0,4.463228
2021-11-01,21.5,90.25,33.55968
2021-11-01,21.5,90.0,18.684755
2021-11-01,20.0,89.25,4.422015
2021-11-01,21.5,89.75,9.879392
2021-11-01,21.5,89.5,5.875316
2021-11-01,20.0,89.5,4.4231625
2021-11-01,21.5,89.25,3.836363
2021-11-01,21.5,89.0,2.7448876
2021-11-01,20.0,89.75,4.481915
2021-11-01,21.5,88.75,2.4982672
2021-11-01,21.5,88.5,3.3897562
2021-11-01,20.0,90.0,4.634232
2021-11-01,21.5,88.25,4.8097653
2021-11-01,20.0,90.25,4.8096704
2021-11-01,21.0,91.0,15.999426
2021-11-01,21.0,90.75,16.829445
2021-11-01,20.25,88.75,4.5999193
2021-11-01,20.75,89.5,6.0946527
2021-11-01,20.5,87.25,3.9389873
2021-11-01,20.75,89.25,5.948838
2021-11-01,20.75,89.0,6.1217604
2021-11-01,20.5,87.5,4.742107
2021-11-01,20.75,88.75,6.3929286
2021-11-01,20.75,88.5,6.266949
2021-11-01,22.5,91.0,40.17733
2021-11-01,20.5,87.75,5.3877273
2021-11-01,20.75,88.25,5.8028455
2021-11-01,20.75,88.0,5.0023146
2021-11-01,20.5,88.0,5.7904387
2021-11-01,20.75,87.75,3.871153
2021-11-01,20.75,87.5,2.9729555
2021-11-01,20.5,88.25,5.9123273
2021-11-01,20.75,87.25,2.768609
2021-11-01,20.75,87.0,3.7737858
2021-11-01,20.5,88.5,5.927482
2021-11-01,20.5,91.0,6.697152
2021-11-01,20.5,90.75,6.434927
2021-11-01,20.5,88.75,5.8502645
2021-11-01,20.5,90.5,6.218606
2021-11-01,20.5,90.25,5.888497
2021-11-01,20.5,89.0,5.7450533
2021-11-01,20.5,90.0,5.6852994
2021-11-01,20.5,89.75,5.4496737
2021-11-01,20.5,89.25,5.5698996
2021-11-01,20.75,89.75,6.775812
2021-11-01,20.5,87.0,3.7977004
2021-11-01,20.75,90.0,7.745286
2021-11-01,20.75,90.25,8.220445
2021-11-01,21.0,90.5,16.23427
2021-11-01,21.0,90.25,13.521396
2021-11-01,20.25,89.0,4.5280166
2021-11-01,21.0,90.0,10.728561
2021-11-01,21.0,89.75,7.9595313
2021-11-01,20.25,89.25,4.5170145
2021-11-01,21.0,89.5,6.502499
2021-11-01,21.0,89.25,6.354007
2021-11-01,22.5,90.75,34.458633
2021-11-01,20.25,89.5,4.6382732
2021-11-01,21.0,89.0,6.4223795
2021-11-01,21.0,88.75,6.1084423
2021-11-01,20.25,89.75,4.790647
2021-11-01,21.75,90.25,21.021847
2021-11-01,21.0,88.5,5.1127725
2021-11-01,20.25,90.0,4.9313006
2021-11-01,21.0,88.0,3.2230983
2021-11-01,21.0,87.75,2.557228
2021-11-01,20.25,90.25,5.00419
2021-11-01,21.0,87.5,2.0918913
2021-11-01,21.0,87.25,2.263317
2021-11-01,20.25,90.5,5.0967326
2021-11-01,21.0,87.0,3.6782339
2021-11-01,20.75,91.0,9.082263
2021-11-01,20.25,90.75,5.351931
2021-11-01,20.75,90.75,9.591767
2021-11-01,20.75,90.5,8.9640875
2021-11-01,20.25,91.0,5.9362197
2021-11-01,21.0,88.25,4.101824
2021-11-01,21.75,90.5,46.17712
2021-11-01,20.5,89.5,5.38299
2021-11-01,21.75,90.75,80.80433
2021-11-01,22.0,90.5,39.33381
2021-11-01,20.0,87.25,4.660623
2021-11-01,20.0,87.75,4.676848
2021-11-01,21.75,91.0,86.086555
2021-11-01,22.25,90.75,49.35877
2021-11-01,22.0,91.0,78.729576
2021-11-01,22.0,90.75,57.60454
2021-11-01,20.0,87.5,4.6875005
2021-12-01,20.0,87.5,3.6394832
2021-12-01,21.25,89.5,7.745182
2021-12-01,20.25,87.25,3.6184835
2021-12-01,21.25,89.75,9.303646
2021-12-01,21.25,89.25,6.5538216
2021-12-01,21.25,89.0,5.525315
2021-12-01,20.25,87.0,3.3546898
2021-12-01,20.25,87.5,3.9664927
2021-12-01,21.0,91.0,22.578476
2021-12-01,21.25,90.0,13.225488
2021-12-01,21.25,88.5,4.6784554
2021-12-01,20.25,87.75,3.8645964
2021-12-01,21.25,88.25,4.2401795
2021-12-01,21.25,88.0,4.0322127
2021-12-01,20.25,88.0,3.9157138
2021-12-01,21.25,87.75,3.619149
2021-12-01,20.5,89.5,4.7392554
2021-12-01,20.25,88.25,3.9825203
2021-12-01,21.25,87.25,3.150788
2021-12-01,21.25,87.0,3.4964335
2021-12-01,20.25,88.5,4.031386
2021-12-01,21.0,90.75,17.195843
2021-12-01,22.0,90.75,34.69831
2021-12-01,21.25,88.75,5.01125
2021-12-01,22.0,90.5,27.303268
2021-12-01,20.0,91.0,4.306705
2021-12-01,21.25,90.5,27.61314
2021-12-01,21.75,90.75,51.012993
2021-12-01,20.0,88.75,4.46261
2021-12-01,21.5,90.75,55.629856
2021-12-01,21.5,90.5,46.93423
2021-12-01,22.25,91.0,34.82755
2021-12-01,20.0,89.0,4.9627438
2021-12-01,21.5,90.25,34.276173
2021-12-01,21.5,90.0,22.66919
2021-12-01,20.0,89.25,5.210897
2021-12-01,21.5,89.75,13.256966
2021-12-01,21.5,89.5,8.431759
2021-12-01,20.0,89.5,5.350488
2021-12-01,21.5,89.25,5.4885497
2021-12-01,21.5,89.0,3.5902119
2021-12-01,21.75,91.0,60.66578
2021-12-01,20.0,89.75,5.458494
2021-12-01,21.5,88.75,2.8363204
2021-12-01,21.5,88.5,3.286377
2021-12-01,20.0,90.0,5.598703
2021-12-01,21.5,88.25,4.2303987
2021-12-01,21.5,88.0,4.107094
2021-12-01,20.0,90.25,5.340669
2021-12-01,21.5,87.75,3.802344
2021-12-01,21.5,87.5,3.5584536
2021-12-01,20.0,90.5,4.5157704
2021-12-01,21.5,87.25,3.5218775
2021-12-01,21.25,91.0,41.961433
2021-12-01,20.0,90.75,3.8842137
2021-12-01,21.25,90.75,35.682682
2021-12-01,21.25,90.25,18.534983
2021-12-01,20.25,88.75,4.353581
2021-12-01,21.0,90.25,8.436086
2021-12-01,21.0,90.0,7.0084405
2021-12-01,20.5,87.25,3.230993
2021-12-01,20.75,89.25,4.4635296
2021-12-01,20.75,89.0,4.295253
2021-12-01,22.5,91.0,27.469978
2021-12-01,22.25,90.75,28.54647
2021-12-01,20.5,87.5,3.8208382
2021-12-01,20.75,88.75,4.127119
2021-12-01,20.75,88.5,4.037596
2021-12-01,20.5,87.75,4.014696
2021-12-01,20.75,88.25,3.9302804
2021-12-01,20.75,88.0,3.823292
2021-12-01,20.5,88.0,4.0479946
2021-12-01,20.75,87.75,3.6089756
2021-12-01,20.75,89.5,4.40924
2021-12-01,20.75,87.5,3.2832353
2021-12-01,20.75,87.25,3.0097806
2021-12-01,20.75,87.0,3.5462382
2021-12-01,20.5,88.5,4.20882
2021-12-01,20.5,91.0,8.866919
2021-12-01,20.5,90.75,8.566556
2021-12-01,20.5,88.75,4.365249
2021-12-01,20.5,90.5,8.281006
2021-12-01,20.5,90.25,7.2858524
2021-12-01,20.5,89.0,4.8137736
2021-12-01,20.5,90.0,6.2696643
2021-12-01,20.5,89.75,4.9900002
2021-12-01,20.0,87.0,3.606293
2021-12-01,20.5,89.25,4.9818697
2021-12-01,20.5,88.25,4.1208186
2021-12-01,21.0,90.5,12.397906
2021-12-01,20.75,89.75,4.781113
2021-12-01,20.75,90.0,6.607402
2021-12-01,20.25,89.0,5.0288434
2021-12-01,21.0,89.75,5.35667
2021-12-01,21.0,89.5,4.637308
2021-12-01,20.25,89.25,5.2188697
2021-12-01,21.0,89.25,4.7600617
2021-12-01,20.25,89.5,5.245763
2021-12-01,21.0,89.0,4.6324296
2021-12-01,22.5,90.75,28.646885
2021-12-01,21.0,88.75,4.5992517
2021-12-01,20.25,89.75,5.451989
2021-12-01,21.0,88.5,4.3555613
2021-12-01,21.0,88.25,3.8831306
2021-12-01,20.25,90.0,6.1370354
2021-12-01,20.5,87.0,3.420589
2021-12-01,21.0,88.0,3.4327836
2021-12-01,20.25,90.25,6.6414714
2021-12-01,21.0,87.5,2.8282604
2021-12-01,20.0,87.25,3.7622356
2021-12-01,21.0,87.25,2.726109
2021-12-01,20.25,90.5,6.759516
2021-12-01,21.0,87.0,3.5851378
2021-12-01,20.75,91.0,11.667498
2021-12-01,22.0,91.0,45.012142
2021-12-01,20.25,90.75,6.6679397
2021-12-01,20.75,90.75,11.032705
2021-12-01,20.75,90.5,9.931702
2021-12-01,20.25,91.0,7.21025
2021-12-01,20.75,90.25,8.184847
2021-12-01,21.0,87.75,3.1342509
2021-12-01,21.5,91.0,57.802044
2021-12-01,21.25,87.5,3.0602758
2021-12-01,21.75,89.75,10.525905
2021-12-01,21.75,90.25,23.306917
2021-12-01,20.0,88.25,3.7736068
2021-12-01,21.75,87.75,3.9848583
2021-12-01,20.0,88.0,3.5948415
2021-12-01,21.75,89.5,6.4848714
2021-12-01,21.75,90.0,15.839865
2021-12-01,20.0,88.5,3.9556153
2021-12-01,21.75,90.5,35.00066
2021-12-01,20.0,87.75,3.5726676
2021-12-01,21.75,88.0,4.228328
2022-01-01,20.5,91.0,4.285376
2022-01-01,20.25,87.0,2.1361609
2022-01-01,20.75,88.75,1.8298583
2022-01-01,21.5,88.25,3.985097
2022-01-01,22.25,90.75,24.13981
2022-01-01,21.5,89.75,6.1838045
2022-01-01,21.0,90.75,12.954073
2022-01-01,20.75,87.75,2.293872
2022-01-01,21.5,87.5,3.481261
2022-01-01,21.25,89.75,3.4445515
2022-01-01,20.0,87.5,1.7066224
2022-01-01,20.0,90.5,4.6292715
2022-01-01,20.5,90.25,2.9842122
2022-01-01,21.25,89.5,2.6451545
2022-01-01,22.5,90.75,34.246513
2022-01-01,20.25,90.75,4.592627
2022-01-01,20.5,87.5,1.8245082
2022-01-01,20.25,90.5,4.047863
2022-01-01,20.0,89.25,3.0195475
2022-01-01,21.75,90.25,10.612469
2022-01-01,20.75,89.0,1.8994488
2022-01-01,20.5,89.0,2.1543794
2022-01-01,21.5,88.75,2.7774286
2022-01-01,20.25,87.25,1.7110336
2022-01-01,20.0,88.5,2.9533038
2022-01-01,21.0,88.0,2.8837903
2022-01-01,21.5,90.0,8.823422
2022-01-01,21.0,91.0,19.998634
2022-01-01,21.0,88.75,2.3257298
2022-01-01,21.25,90.0,6.2503047
2022-01-01,21.75,90.0,7.0398064
2022-01-01,21.75,88.0,3.55874
2022-01-01,20.5,88.0,1.615659
2022-01-01,20.25,89.5,2.941724
2022-01-01,21.0,90.0,2.7409306
2022-01-01,21.25,90.75,30.312065
2022-01-01,20.75,88.0,2.02595
2022-01-01,21.5,89.25,3.693191
2022-01-01,20.25,90.25,3.553668
2022-01-01,20.5,88.75,1.9682513
2022-01-01,21.0,89.0,2.0722792
2022-01-01,20.75,88.25,1.8953011
2022-01-01,21.0,90.25,3.5802107
2022-01-01,20.5,90.75,3.756307
2022-01-01,21.0,87.0,3.299987
2022-01-01,21.25,91.0,35.815773
2022-01-01,20.0,90.75,4.9520273
2022-01-01,20.75,91.0,6.0467954
2022-01-01,21.0,87.75,2.960114
2022-01-01,20.0,89.75,3.459145
2022-01-01,21.5,87.25,3.4486907
2022-01-01,21.0,89.25,2.0255957
2022-01-01,21.0,90.5,7.258498
2022-01-01,21.5,89.5,4.180873
2022-01-01,20.5,90.5,3.1238573
2022-01-01,22.0,90.75,18.90365
2022-01-01,21.25,90.25,10.68464
2022-01-01,20.25,89.0,2.58056
2022-01-01,20.25,88.75,2.4757888
2022-01-01,20.0,87.25,1.6481433
2022-01-01,20.75,88.5,1.8274063
2022-01-01,20.0,89.5,3.2333515
2022-01-01,20.0,87.75,1.8532003
2022-01-01,20.0,91.0,5.064767
2022-01-01,22.0,91.0,27.587015
2022-01-01,20.5,87.75,1.705219
2022-01-01,21.25,90.5,20.341503
2022-01-01,20.75,90.75,3.9129047
2022-01-01,21.75,91.0,34.556244
2022-01-01,21.5,89.0,3.4401445
2022-01-01,21.75,87.75,3.4222286
2022-01-01,21.5,90.5,28.537886
2022-01-01,21.25,88.5,3.2680337
2022-01-01,22.0,90.5,15.180394
2022-01-01,20.75,89.75,2.540573
2022-01-01,20.25,88.25,2.0027897
2022-01-01,20.0,90.25,4.240747
2022-01-01,20.25,87.75,1.6099687
2022-01-01,20.75,87.5,2.3078887
2022-01-01,20.5,89.75,2.8045442
2022-01-01,20.0,87.0,1.7003914
2022-01-01,20.25,91.0,4.68606
2022-01-01,20.5,88.5,1.8156593
2022-01-01,21.75,90.75,24.854868
2022-01-01,21.5,90.75,41.744633
2022-01-01,21.25,87.25,3.3532655
2022-01-01,20.25,88.0,1.7321463
2022-01-01,21.5,88.0,3.4332223
2022-01-01,21.25,88.25,3.7304552
2022-01-01,20.25,90.0,3.3062925
2022-01-01,20.5,89.25,2.4714
2022-01-01,21.0,88.25,2.8409953
2022-01-01,20.0,90.0,3.7686553
2022-01-01,20.5,87.0,2.717222
2022-01-01,21.0,89.5,2.1789296
2022-01-01,20.25,89.25,2.7680593
2022-01-01,21.25,88.0,3.520787
2022-01-01,20.0,88.75,2.9928284
2022-01-01,20.75,87.25,2.272512
2022-01-01,20.0,88.0,2.169658
2022-01-01,21.25,87.0,3.3560395
2022-01-01,21.75,90.5,15.701623
2022-01-01,20.5,89.5,2.6649323
