time,latitude,longitude,so
2022-06-01,20.0,87.0,32.947487
2022-06-01,20.92,87.92,32.420006
2022-06-01,20.08,88.92,32.189808
2022-06-01,21.5,90.92,14.164608
2022-06-01,20.92,87.83,32.50154
2022-06-01,20.42,89.17,30.646585
2022-06-01,21.5,91.0,13.971946
2022-06-01,20.92,87.75,32.61524
2022-06-01,20.92,87.67,32.76176
2022-06-01,20.08,88.83,32.196934
2022-06-01,21.58,87.17,27.922342
2022-06-01,20.42,89.25,30.550257
2022-06-01,20.42,89.08,30.855568
2022-06-01,21.58,87.25,28.154936
2022-06-01,20.92,87.5,32.871517
2022-06-01,20.42,89.33,30.493036
2022-06-01,20.08,88.75,32.223537
2022-06-01,21.58,87.33,28.180946
2022-06-01,20.92,87.42,32.7654
2022-06-01,21.58,87.42,27.860088
2022-06-01,20.92,87.33,32.581707
2022-06-01,20.42,89.42,30.400824
2022-06-01,20.92,87.25,32.39435
2022-06-01,20.08,88.67,32.31533
2022-06-01,22.25,90.92,4.532965
2022-06-01,20.92,87.58,32.8595
2022-06-01,21.58,87.5,27.527494
2022-06-01,20.92,88.0,32.269726
2022-06-01,20.92,88.08,32.209816
2022-06-01,20.42,88.67,31.760626
2022-06-01,20.08,89.25,31.788218
2022-06-01,20.92,88.75,31.240307
2022-06-01,21.5,90.33,18.608562
2022-06-01,20.92,88.67,31.299158
2022-06-01,20.42,88.75,31.649248
2022-06-01,21.5,90.42,17.62982
2022-06-01,20.92,88.58,31.419872
2022-06-01,20.08,89.17,31.977774
2022-06-01,20.92,88.5,31.532139
2022-06-01,20.42,88.83,31.435059
2022-06-01,21.5,90.83,14.486132
2022-06-01,21.5,90.5,16.771944
2022-06-01,20.92,88.33,31.855352
2022-06-01,20.08,89.08,32.091484
2022-06-01,21.5,90.58,16.020542
2022-06-01,20.42,88.92,31.231
2022-06-01,21.5,90.67,15.391321
2022-06-01,20.92,88.25,31.996449
2022-06-01,20.92,88.17,32.091602
2022-06-01,20.42,89.0,31.073666
2022-06-01,20.08,89.0,32.136246
2022-06-01,22.0,90.83,5.580678
2022-06-01,21.5,90.75,14.898283
2022-06-01,20.92,88.42,31.681845
2022-06-01,20.92,87.17,31.871338
2022-06-01,20.42,89.5,30.242678
2022-06-01,21.58,87.58,28.167269
2022-06-01,20.08,88.25,32.56473
2022-06-01,21.58,88.33,25.543169
2022-06-01,20.83,90.25,28.58659
2022-06-01,21.58,88.42,25.180838
2022-06-01,20.83,90.17,28.883858
2022-06-01,20.42,90.08,29.627066
2022-06-01,20.08,88.17,32.60718
2022-06-01,20.83,90.08,29.117868
2022-06-01,21.58,88.58,26.571236
2022-06-01,20.83,90.0,29.277037
2022-06-01,20.42,90.17,29.474733
2022-06-01,20.42,90.0,29.697205
2022-06-01,21.58,88.67,28.032875
2022-06-01,20.08,88.08,32.64884
2022-06-01,22.67,90.83,4.567822
2022-06-01,20.83,89.83,29.408577
2022-06-01,21.58,88.75,28.617838
2022-06-01,20.42,90.25,29.394566
2022-06-01,21.58,88.83,29.16555
2022-06-01,20.83,89.75,29.449947
2022-06-01,20.83,89.67,29.441006
2022-06-01,20.08,88.0,32.67305
2022-06-01,20.42,90.33,29.414888
2022-06-01,21.58,88.92,28.976023
2022-06-01,20.83,89.92,29.36783
2022-06-01,20.83,90.33,28.344213
2022-06-01,20.83,90.42,28.12452
2022-06-01,21.58,88.25,25.741453
2022-06-01,20.92,87.08,30.957344
2022-06-01,20.08,88.58,32.406433
2022-06-01,21.58,87.67,28.401155
2022-06-01,20.92,87.0,29.551506
2022-06-01,20.42,89.58,30.139921
2022-06-01,21.58,87.75,28.640968
2022-06-01,20.83,91.0,27.0772
2022-06-01,20.83,90.92,27.326433
2022-06-01,20.08,88.5,32.468075
2022-06-01,20.42,89.67,29.904297
2022-06-01,21.58,87.83,28.862682
2022-06-01,21.58,87.92,29.180735
2022-06-01,20.83,90.83,27.515965
2022-06-01,20.42,89.75,29.793425
2022-06-01,20.83,90.75,27.619148
2022-06-01,20.08,88.42,32.579403
2022-06-01,21.58,88.0,28.80253
2022-06-01,20.83,90.67,27.708525
2022-06-01,20.42,89.83,29.804735
2022-06-01,21.58,88.08,27.376802
2022-06-01,20.83,90.58,27.798897
2022-06-01,20.83,90.5,27.922
2022-06-01,20.08,88.33,32.55259
2022-06-01,20.42,89.92,29.703583
2022-06-01,21.58,88.17,25.578606
2022-06-01,20.92,88.83,31.09881
2022-06-01,20.83,89.58,29.486628
2022-06-01,21.5,90.25,19.854614
2022-06-01,21.5,90.17,21.357033
2022-06-01,21.0,87.33,32.54381
2022-06-01,21.5,88.33,27.420027
2022-06-01,21.0,87.25,32.381863
2022-06-01,20.42,87.33,32.91601
2022-06-01,20.08,90.25,30.24252
2022-06-01,21.0,87.17,31.987394
2022-06-01,21.5,88.42,26.53498
