time,latitude,longitude,spco2
2021-11-01,20.0,87.0,30.30035
2021-11-01,20.0,90.5,35.048527
2021-11-01,21.5,87.25,16.710175
2021-11-01,21.25,91.0,25.58624
2021-11-01,20.0,90.75,35.113537
2021-11-01,21.25,90.75,24.897512
2021-11-01,21.25,90.5,24.711538
2021-11-01,20.0,91.0,35.202614
2021-11-01,21.25,90.25,26.563053
2021-11-01,21.25,90.0,28.347149
2021-11-01,20.25,87.0,26.525105
2021-11-01,21.25,89.75,27.057747
2021-11-01,21.25,89.5,27.392942
2021-11-01,20.25,87.25,29.41785
2021-11-01,21.25,89.25,26.49217
2021-11-01,21.25,89.0,25.562738
2021-11-01,20.25,87.5,31.453217
2021-11-01,21.25,88.75,23.569202
2021-11-01,21.25,88.5,18.52056
2021-11-01,20.25,87.75,32.83982
2021-11-01,21.25,88.25,14.746402
2021-11-01,21.25,88.0,13.744458
2021-11-01,20.25,88.0,33.35155
2021-11-01,21.25,87.75,14.679623
2021-11-01,21.25,87.5,17.325113
2021-11-01,20.25,88.25,33.635536
2021-11-01,21.25,87.25,19.004812
2021-11-01,21.25,87.0,18.134024
2021-11-01,21.5,87.5,15.440965
2021-11-01,20.25,88.5,33.837536
2021-11-01,21.5,87.75,13.617233
2021-11-01,21.5,88.0,10.979366
2021-11-01,20.0,88.0,33.831734
2021-11-01,21.75,90.0,17.092806
2021-11-01,21.75,89.75,18.018135
2021-11-01,20.0,88.25,34.065956
2021-11-01,21.75,89.5,18.247126
2021-11-01,21.75,88.0,8.804664
2021-11-01,20.0,88.5,34.230576
2021-11-01,21.75,87.75,11.446966
2021-11-01,21.5,91.0,20.615547
2021-11-01,20.0,88.75,34.409065
2021-11-01,21.5,90.75,20.378595
2021-11-01,22.25,91.0,17.172033
2021-11-01,21.5,90.5,21.21475
2021-11-01,20.0,89.0,34.531517
2021-11-01,21.5,90.25,22.955603
2021-11-01,21.5,90.0,22.248383
2021-11-01,20.0,89.25,34.56238
2021-11-01,21.5,89.75,22.661224
2021-11-01,21.5,89.5,22.19152
2021-11-01,20.0,89.5,34.517937
2021-11-01,21.5,89.25,21.684149
2021-11-01,21.5,89.0,21.70426
2021-11-01,20.0,89.75,34.5918
2021-11-01,21.5,88.75,19.21271
2021-11-01,21.5,88.5,13.859999
2021-11-01,20.0,90.0,34.751205
2021-11-01,21.5,88.25,10.138388
2021-11-01,20.0,90.25,34.91584
2021-11-01,21.0,91.0,30.814295
2021-11-01,21.0,90.75,30.273806
2021-11-01,20.25,88.75,33.99653
2021-11-01,20.75,89.5,31.94168
2021-11-01,20.5,87.25,26.158365
2021-11-01,20.75,89.25,31.768894
2021-11-01,20.75,89.0,31.56504
2021-11-01,20.5,87.5,28.152243
2021-11-01,20.75,88.75,31.183886
2021-11-01,20.75,88.5,30.353277
2021-11-01,22.5,91.0,25.60619
2021-11-01,20.5,87.75,30.247538
2021-11-01,20.75,88.25,29.06419
2021-11-01,20.75,88.0,26.902245
2021-11-01,20.5,88.0,31.516998
2021-11-01,20.75,87.75,24.073744
2021-11-01,20.75,87.5,22.533512
2021-11-01,20.5,88.25,32.153656
2021-11-01,20.75,87.25,22.378416
2021-11-01,20.75,87.0,20.296972
2021-11-01,20.5,88.5,32.463226
2021-11-01,20.5,91.0,35.287
2021-11-01,20.5,90.75,34.73236
2021-11-01,20.5,88.75,32.683502
2021-11-01,20.5,90.5,34.14139
2021-11-01,20.5,90.25,33.7006
2021-11-01,20.5,89.0,32.898132
2021-11-01,20.5,90.0,33.423817
2021-11-01,20.5,89.75,33.174908
2021-11-01,20.5,89.25,33.01982
2021-11-01,20.75,89.75,31.828403
2021-11-01,20.5,87.0,22.770058
2021-11-01,20.75,90.0,32.534214
2021-11-01,20.75,90.25,33.331127
2021-11-01,21.0,90.5,30.020815
2021-11-01,21.0,90.25,30.378115
2021-11-01,20.25,89.0,34.08997
2021-11-01,21.0,90.0,31.199165
2021-11-01,21.0,89.75,30.738346
2021-11-01,20.25,89.25,34.032932
2021-11-01,21.0,89.5,30.476385
2021-11-01,21.0,89.25,30.075817
2021-11-01,22.5,90.75,36.202732
2021-11-01,20.25,89.5,33.902855
2021-11-01,21.0,89.0,29.204515
2021-11-01,21.0,88.75,27.788116
2021-11-01,20.25,89.75,33.8818
2021-11-01,21.75,90.25,18.90077
2021-11-01,21.0,88.5,25.307005
2021-11-01,20.25,90.0,34.033043
2021-11-01,21.0,88.0,19.431858
2021-11-01,21.0,87.75,18.006617
2021-11-01,20.25,90.25,34.1611
2021-11-01,21.0,87.5,18.87019
2021-11-01,21.0,87.25,20.687735
2021-11-01,20.25,90.5,34.338364
2021-11-01,21.0,87.0,19.522848
2021-11-01,20.75,91.0,34.258804
