time,latitude,longitude,thetao
2022-06-01,20.0,87.0,29.735254
2022-06-01,20.92,87.92,29.848173
2022-06-01,20.08,88.92,29.861073
2022-06-01,21.5,90.92,29.616404
2022-06-01,20.92,87.83,29.9097
2022-06-01,20.42,89.17,30.0003
2022-06-01,21.5,91.0,29.58139
2022-06-01,20.92,87.75,29.774778
2022-06-01,20.92,87.67,29.745213
2022-06-01,20.08,88.83,29.860844
2022-06-01,21.58,87.17,31.113613
2022-06-01,20.42,89.25,29.998194
2022-06-01,20.42,89.08,30.003906
2022-06-01,21.58,87.25,31.031176
2022-06-01,20.92,87.5,29.725712
2022-06-01,20.42,89.33,29.986885
2022-06-01,20.08,88.75,29.862879
2022-06-01,21.58,87.33,30.980368
2022-06-01,20.92,87.42,29.754944
2022-06-01,21.58,87.42,30.97025
2022-06-01,20.92,87.33,29.80008
2022-06-01,20.42,89.42,29.976477
2022-06-01,20.92,87.25,29.848686
2022-06-01,20.08,88.67,29.871277
2022-06-01,22.25,90.92,29.56732
2022-06-01,20.92,87.58,29.73925
2022-06-01,21.58,87.5,30.969488
2022-06-01,20.92,88.0,29.882263
2022-06-01,20.92,88.08,29.83506
2022-06-01,20.42,88.67,30.021185
2022-06-01,20.08,89.25,29.922087
2022-06-01,20.92,88.75,29.790525
2022-06-01,21.5,90.33,29.909206
2022-06-01,20.92,88.67,29.811314
2022-06-01,20.42,88.75,30.02496
2022-06-01,21.5,90.42,29.873589
2022-06-01,20.92,88.58,29.78922
2022-06-01,20.08,89.17,29.90299
2022-06-01,20.92,88.5,29.816427
2022-06-01,20.42,88.83,30.0227
2022-06-01,21.5,90.83,29.649942
2022-06-01,21.5,90.5,29.831203
2022-06-01,20.92,88.33,29.778526
2022-06-01,20.08,89.08,29.876623
2022-06-01,21.5,90.58,29.78478
2022-06-01,20.42,88.92,30.014887
2022-06-01,21.5,90.67,29.734388
2022-06-01,20.92,88.25,29.827036
2022-06-01,20.92,88.17,29.797976
2022-06-01,20.42,89.0,30.006681
2022-06-01,20.08,89.0,29.868683
2022-06-01,22.0,90.83,29.475965
2022-06-01,21.5,90.75,29.688494
2022-06-01,20.92,88.42,29.772587
2022-06-01,20.92,87.17,30.126123
2022-06-01,20.42,89.5,29.97058
2022-06-01,21.58,87.58,30.874842
2022-06-01,20.08,88.25,29.93283
2022-06-01,21.58,88.33,30.654348
2022-06-01,20.83,90.25,30.033663
2022-06-01,21.58,88.42,30.596872
2022-06-01,20.83,90.17,30.05781
2022-06-01,20.42,90.08,29.955336
2022-06-01,20.08,88.17,29.931751
2022-06-01,20.83,90.08,30.062618
2022-06-01,21.58,88.58,30.535189
2022-06-01,20.83,90.0,30.051922
2022-06-01,20.42,90.17,29.952986
2022-06-01,20.42,90.0,29.9371
2022-06-01,21.58,88.67,30.25697
2022-06-01,20.08,88.08,29.934492
2022-06-01,22.67,90.83,29.812742
2022-06-01,20.83,89.83,30.044338
2022-06-01,21.58,88.75,30.20204
2022-06-01,20.42,90.25,29.915031
2022-06-01,21.58,88.83,30.18875
2022-06-01,20.83,89.75,30.03715
2022-06-01,20.83,89.67,30.034462
2022-06-01,20.08,88.0,29.932484
2022-06-01,20.42,90.33,29.863873
2022-06-01,21.58,88.92,30.25268
2022-06-01,20.83,89.92,30.04608
2022-06-01,20.83,90.33,30.000149
2022-06-01,20.83,90.42,29.96104
2022-06-01,21.58,88.25,30.743958
2022-06-01,20.92,87.08,30.490667
2022-06-01,20.08,88.58,29.883339
2022-06-01,21.58,87.67,30.829874
2022-06-01,20.92,87.0,30.895937
2022-06-01,20.42,89.58,29.9741
2022-06-01,21.58,87.75,30.796606
2022-06-01,20.83,91.0,29.79542
2022-06-01,20.83,90.92,29.826555
2022-06-01,20.08,88.5,29.89846
2022-06-01,20.42,89.67,29.976912
2022-06-01,21.58,87.83,30.755209
2022-06-01,21.58,87.92,30.718111
2022-06-01,20.83,90.83,29.841673
2022-06-01,20.42,89.75,29.965607
2022-06-01,20.83,90.75,29.845745
2022-06-01,20.08,88.42,29.90446
2022-06-01,21.58,88.0,30.713718
2022-06-01,20.83,90.67,29.862946
2022-06-01,20.42,89.83,29.937176
