time,latitude,longitude,uo
2022-06-01,20.0,87.0,0.7044423
2022-06-01,20.92,87.92,0.030327478
2022-06-01,20.08,88.92,0.48045567
2022-06-01,21.5,90.92,0.021370975
2022-06-01,20.92,87.83,0.035301123
2022-06-01,20.42,89.17,0.037125014
2022-06-01,21.5,91.0,0.017816223
2022-06-01,20.92,87.75,0.057089813
2022-06-01,20.92,87.67,0.076556556
2022-06-01,20.08,88.83,0.5204671
2022-06-01,21.58,87.17,-0.018230682
2022-06-01,20.42,89.25,0.031887367
2022-06-01,20.42,89.08,0.045316316
2022-06-01,21.58,87.25,-0.014282407
2022-06-01,20.92,87.5,0.08575431
2022-06-01,20.42,89.33,0.026844611
2022-06-01,20.08,88.75,0.55266494
2022-06-01,21.58,87.33,-0.0011131071
2022-06-01,20.92,87.42,0.07711888
2022-06-01,21.58,87.42,0.013142663
2022-06-01,20.92,87.33,0.07169782
2022-06-01,20.42,89.42,0.021421202
2022-06-01,20.92,87.25,0.07561433
2022-06-01,20.08,88.67,0.5775689
2022-06-01,22.25,90.92,-0.0033364983
2022-06-01,20.92,87.58,0.08862414
2022-06-01,21.58,87.5,0.022997001
2022-06-01,20.92,88.0,0.04137664
2022-06-01,20.92,88.08,0.035628457
2022-06-01,20.42,88.67,0.1257525
2022-06-01,20.08,89.25,0.27020508
2022-06-01,20.92,88.75,0.089941606
2022-06-01,21.5,90.33,0.0018228509
2022-06-01,20.92,88.67,0.09981268
2022-06-01,20.42,88.75,0.11664934
2022-06-01,21.5,90.42,0.0059394035
2022-06-01,20.92,88.58,0.09058823
2022-06-01,20.08,89.17,0.31819108
2022-06-01,20.92,88.5,0.07329447
2022-06-01,20.42,88.83,0.09267512
2022-06-01,21.5,90.83,0.017733019
2022-06-01,21.5,90.5,0.009454043
2022-06-01,20.92,88.33,0.03951975
2022-06-01,20.08,89.08,0.3784547
2022-06-01,21.5,90.58,0.0105305035
2022-06-01,20.42,88.92,0.07009129
2022-06-01,21.5,90.67,0.011542049
2022-06-01,20.92,88.25,0.029969255
2022-06-01,20.92,88.17,0.02498973
2022-06-01,20.42,89.0,0.056417502
2022-06-01,20.08,89.0,0.4338834
2022-06-01,22.0,90.83,0.0078556985
2022-06-01,21.5,90.75,0.014484647
2022-06-01,20.92,88.42,0.051809356
2022-06-01,20.92,87.17,0.064669274
2022-06-01,20.42,89.5,0.017861575
2022-06-01,21.58,87.58,0.03085395
2022-06-01,20.08,88.25,0.75371325
2022-06-01,21.58,88.33,0.07245105
2022-06-01,20.83,90.25,-0.005213355
2022-06-01,21.58,88.42,0.08084755
2022-06-01,20.83,90.17,0.005353695
2022-06-01,20.42,90.08,0.04233173
2022-06-01,20.08,88.17,0.76593137
2022-06-01,20.83,90.08,0.026180102
2022-06-01,21.58,88.58,0.08630451
2022-06-01,20.83,90.0,0.05312484
2022-06-01,20.42,90.17,0.060510907
2022-06-01,20.42,90.0,0.025667138
2022-06-01,21.58,88.67,0.07801008
2022-06-01,20.08,88.08,0.78957593
2022-06-01,22.67,90.83,0.026079096
2022-06-01,20.83,89.83,0.09224654
2022-06-01,21.58,88.75,0.079321526
2022-06-01,20.42,90.25,0.072235204
2022-06-01,21.58,88.83,0.08230863
2022-06-01,20.83,89.75,0.09422799
2022-06-01,20.83,89.67,0.08848044
2022-06-01,20.08,88.0,0.8107841
2022-06-01,20.42,90.33,0.0822991
2022-06-01,21.58,88.92,0.055343073
2022-06-01,20.83,89.92,0.078105055
2022-06-01,20.83,90.33,-0.012130818
2022-06-01,20.83,90.42,-0.016715955
2022-06-01,21.58,88.25,0.07087286
2022-06-01,20.92,87.08,0.03641169
2022-06-01,20.08,88.58,0.6030966
2022-06-01,21.58,87.67,0.039063632
2022-06-01,20.92,87.0,0.021497956
2022-06-01,20.42,89.58,0.021986008
2022-06-01,21.58,87.75,0.045807425
2022-06-01,20.83,91.0,0.0038464968
2022-06-01,20.83,90.92,0.005568755
2022-06-01,20.08,88.5,0.6400529
2022-06-01,20.42,89.67,0.030276917
2022-06-01,21.58,87.83,0.047480606
2022-06-01,21.58,87.92,0.03915596
2022-06-01,20.83,90.83,0.0055069267
2022-06-01,20.42,89.75,0.029201949
2022-06-01,20.83,90.75,0.0022159175
2022-06-01,20.08,88.42,0.6923676
2022-06-01,21.58,88.0,0.02898305
2022-06-01,20.83,90.67,-0.0021167793
2022-06-01,20.42,89.83,0.020503487
2022-06-01,21.58,88.08,0.03488703
2022-06-01,20.83,90.58,-0.0069690943
2022-06-01,20.83,90.5,-0.013425325
2022-06-01,20.08,88.33,0.7363395
2022-06-01,20.42,89.92,0.017801067
2022-06-01,21.58,88.17,0.05796145
2022-06-01,20.92,88.83,0.059474804
2022-06-01,20.83,89.58,0.082051806
2022-06-01,21.5,90.25,-0.0014042055
