time,latitude,longitude,vo
2022-06-01,20.0,87.0,0.2860358
2022-06-01,20.92,87.92,0.00085871347
2022-06-01,20.08,88.92,-0.14647618
2022-06-01,21.5,90.92,-0.0063339337
2022-06-01,20.92,87.83,0.005304716
2022-06-01,20.42,89.17,-0.02853969
2022-06-01,21.5,91.0,-0.015245175
2022-06-01,20.92,87.75,0.0062159374
2022-06-01,20.92,87.67,0.042062975
2022-06-01,20.08,88.83,-0.13517949
2022-06-01,21.58,87.17,0.03316801
2022-06-01,20.42,89.25,-0.029131787
2022-06-01,20.42,89.08,-0.018736204
2022-06-01,21.58,87.25,0.03318346
2022-06-01,20.92,87.5,0.020186437
2022-06-01,20.42,89.33,-0.020637296
2022-06-01,20.08,88.75,-0.10714578
2022-06-01,21.58,87.33,0.025546381
2022-06-01,20.92,87.42,0.031168226
2022-06-01,21.58,87.42,0.017097173
2022-06-01,20.92,87.33,0.056442875
2022-06-01,20.42,89.42,-0.008621133
2022-06-01,20.92,87.25,0.08940853
2022-06-01,20.08,88.67,-0.07224567
2022-06-01,22.25,90.92,-0.030837644
2022-06-01,20.92,87.58,0.024452748
2022-06-01,21.58,87.5,0.020912716
2022-06-01,20.92,88.0,0.0006236817
2022-06-01,20.92,88.08,0.01789861
2022-06-01,20.42,88.67,-0.001424028
2022-06-01,20.08,89.25,-0.087187074
2022-06-01,20.92,88.75,-0.038171355
2022-06-01,21.5,90.33,0.0021873598
2022-06-01,20.92,88.67,0.007899755
2022-06-01,20.42,88.75,-0.016103465
2022-06-01,21.5,90.42,0.00183951
2022-06-01,20.92,88.58,0.040385317
2022-06-01,20.08,89.17,-0.10224056
2022-06-01,20.92,88.5,0.049949016
2022-06-01,20.42,88.83,-0.025687601
2022-06-01,21.5,90.83,-0.0047108657
2022-06-01,21.5,90.5,-9.313176e-05
2022-06-01,20.92,88.33,0.049482845
2022-06-01,20.08,89.08,-0.12394307
2022-06-01,21.5,90.58,-0.0028344258
2022-06-01,20.42,88.92,-0.0369932
2022-06-01,21.5,90.67,-0.0043786047
2022-06-01,20.92,88.25,0.017778564
2022-06-01,20.92,88.17,0.011839227
2022-06-01,20.42,89.0,-0.031105608
2022-06-01,20.08,89.0,-0.13818403
2022-06-01,22.0,90.83,-0.0101649165
2022-06-01,21.5,90.75,-0.0045231073
2022-06-01,20.92,88.42,0.06333912
2022-06-01,20.92,87.17,0.105903216
2022-06-01,20.42,89.5,0.011493242
2022-06-01,21.58,87.58,0.023513433
2022-06-01,20.08,88.25,-0.021615792
2022-06-01,21.58,88.33,-0.011776623
2022-06-01,20.83,90.25,0.020453738
2022-06-01,21.58,88.42,0.012838962
2022-06-01,20.83,90.17,0.0076302765
2022-06-01,20.42,90.08,-0.044699144
2022-06-01,20.08,88.17,-0.0079716705
2022-06-01,20.83,90.08,-0.011051616
2022-06-01,21.58,88.58,0.03358655
2022-06-01,20.83,90.0,-0.021916479
2022-06-01,20.42,90.17,-0.022617726
2022-06-01,20.42,90.0,-0.06505368
2022-06-01,21.58,88.67,0.046716165
2022-06-01,20.08,88.08,0.016843539
2022-06-01,22.67,90.83,0.054916102
2022-06-01,20.83,89.83,-0.05468539
2022-06-01,21.58,88.75,0.030962344
2022-06-01,20.42,90.25,-0.00501019
2022-06-01,21.58,88.83,0.021070497
2022-06-01,20.83,89.75,-0.040429994
2022-06-01,20.83,89.67,-0.010675295
2022-06-01,20.08,88.0,0.048897542
2022-06-01,20.42,90.33,0.016160209
2022-06-01,21.58,88.92,0.019643355
2022-06-01,20.83,89.92,-0.04711174
2022-06-01,20.83,90.33,0.016077915
2022-06-01,20.83,90.42,0.018296894
2022-06-01,21.58,88.25,-0.030578278
2022-06-01,20.92,87.08,0.06322955
2022-06-01,20.08,88.58,-0.06641672
