time,latitude,longitude,wo
2022-06-01,20.0,87.0,-2.9713754e-06
2022-06-01,20.92,87.92,2.5721538e-06
2022-06-01,20.08,88.92,-7.4996865e-07
2022-06-01,21.5,90.92,-9.2174463e-07
2022-06-01,20.92,87.83,7.5015333e-07
2022-06-01,20.42,89.17,5.974138e-07
2022-06-01,21.5,91.0,-1.4366707e-06
2022-06-01,20.92,87.75,9.1824955e-07
2022-06-01,20.92,87.67,6.4983294e-09
2022-06-01,20.08,88.83,-6.8848954e-07
2022-06-01,21.58,87.17,-1.8332113e-07
2022-06-01,20.42,89.25,3.3335667e-07
2022-06-01,20.42,89.08,4.491713e-07
2022-06-01,21.58,87.25,-4.8837506e-07
2022-06-01,20.92,87.5,-4.1395006e-07
2022-06-01,20.42,89.33,1.02021076e-07
2022-06-01,20.08,88.75,7.4080326e-08
2022-06-01,21.58,87.33,-1.0692914e-06
2022-06-01,20.92,87.42,1.2604148e-07
2022-06-01,21.58,87.42,-6.823001e-07
2022-06-01,20.92,87.33,2.4117062e-07
2022-06-01,20.42,89.42,-8.749374e-08
2022-06-01,20.92,87.25,-1.2861984e-06
2022-06-01,20.08,88.67,2.5049482e-07
2022-06-01,22.25,90.92,-6.3556666e-07
2022-06-01,20.92,87.58,-3.423488e-07
2022-06-01,21.58,87.5,-4.95919e-07
2022-06-01,20.92,88.0,9.147817e-07
2022-06-01,20.92,88.08,6.327538e-07
2022-06-01,20.42,88.67,3.9781588e-07
2022-06-01,20.08,89.25,-5.6800553e-07
2022-06-01,20.92,88.75,-1.1162933e-06
2022-06-01,21.5,90.33,-8.644541e-07
2022-06-01,20.92,88.67,2.5138771e-08
2022-06-01,20.42,88.75,-5.6847195e-08
2022-06-01,21.5,90.42,-8.8678405e-07
2022-06-01,20.92,88.58,-1.3772588e-08
2022-06-01,20.08,89.17,-6.8260454e-07
2022-06-01,20.92,88.5,7.277952e-08
2022-06-01,20.42,88.83,-6.3551425e-08
2022-06-01,21.5,90.83,-9.013393e-07
2022-06-01,21.5,90.5,-9.000209e-07
2022-06-01,20.92,88.33,-3.790412e-07
2022-06-01,20.08,89.08,-8.449768e-07
2022-06-01,21.5,90.58,-8.909277e-07
2022-06-01,20.42,88.92,1.1267311e-07
2022-06-01,21.5,90.67,-8.7387957e-07
2022-06-01,20.92,88.25,6.051231e-07
2022-06-01,20.92,88.17,1.2664565e-06
2022-06-01,20.42,89.0,9.307309e-08
2022-06-01,20.08,89.0,-3.34944e-07
2022-06-01,22.0,90.83,-9.1400796e-07
2022-06-01,21.5,90.75,-8.85143e-07
2022-06-01,20.92,88.42,1.1797615e-07
2022-06-01,20.92,87.17,8.011378e-07
2022-06-01,20.42,89.5,4.7289e-08
2022-06-01,21.58,87.58,-4.1911608e-07
2022-06-01,20.08,88.25,9.787392e-07
2022-06-01,21.58,88.33,-6.58905e-07
2022-06-01,20.83,90.25,-2.2266109e-07
2022-06-01,21.58,88.42,-6.9595166e-07
2022-06-01,20.83,90.17,-1.0388975e-06
2022-06-01,20.42,90.08,2.1142222e-07
2022-06-01,20.08,88.17,-3.8390664e-07
2022-06-01,20.83,90.08,-1.074727e-06
2022-06-01,21.58,88.58,-7.4899134e-07
2022-06-01,20.83,90.0,-1.0391176e-06
2022-06-01,20.42,90.17,5.893207e-07
2022-06-01,20.42,90.0,-1.5930405e-07
2022-06-01,21.58,88.67,-1.5541614e-06
2022-06-01,20.08,88.08,-1.2957324e-06
2022-06-01,22.67,90.83,-3.643719e-06
2022-06-01,20.83,89.83,-3.443263e-07
2022-06-01,21.58,88.75,-1.0903502e-06
2022-06-01,20.42,90.25,1.01394924e-07
2022-06-01,21.58,88.83,-1.5548048e-06
2022-06-01,20.83,89.75,-3.589268e-07
2022-06-01,20.83,89.67,-1.743173e-07
2022-06-01,20.08,88.0,4.9300513e-07
2022-06-01,20.42,90.33,-2.3321922e-08
2022-06-01,21.58,88.92,-2.200468e-06
2022-06-01,20.83,89.92,-8.6880135e-07
2022-06-01,20.83,90.33,-1.7978628e-07
2022-06-01,20.83,90.42,-7.0891e-09
2022-06-01,21.58,88.25,-6.323999e-07
2022-06-01,20.92,87.08,7.511246e-07
2022-06-01,20.08,88.58,-1.0105041e-07
2022-06-01,21.58,87.67,-3.5708445e-07
2022-06-01,20.92,87.0,3.221406e-07
2022-06-01,20.42,89.58,-6.2060076e-07
2022-06-01,21.58,87.75,-1.712852e-07
2022-06-01,20.83,91.0,1.3387599e-07
2022-06-01,20.83,90.92,1.3448542e-07
2022-06-01,20.08,88.5,-8.149663e-07
2022-06-01,20.42,89.67,8.5523375e-08
2022-06-01,21.58,87.83,-2.0509209e-07
2022-06-01,21.58,87.92,-1.1076552e-07
2022-06-01,20.83,90.83,-4.0463135e-08
2022-06-01,20.42,89.75,-1.6361108e-07
2022-06-01,20.83,90.75,4.118355e-08
2022-06-01,20.08,88.42,-1.5556288e-06
2022-06-01,21.58,88.0,-1.6436225e-07
2022-06-01,20.83,90.67,-3.5127034e-08
2022-06-01,20.42,89.83,-1.9241857e-07
2022-06-01,21.58,88.08,-3.4582035e-07
2022-06-01,20.83,90.58,3.1985305e-08
2022-06-01,20.83,90.5,1.305115e-07
2022-06-01,20.08,88.33,-8.499261e-08
2022-06-01,20.42,89.92,1.301179e-07
2022-06-01,21.58,88.17,-4.0460856e-07
2022-06-01,20.92,88.83,-8.0637386e-07
2022-06-01,20.83,89.58,-4.4082267e-08
2022-06-01,21.5,90.25,-8.4682137e-07
2022-06-01,21.5,90.17,-1.0296359e-06
2022-06-01,21.0,87.33,-1.3205869e-07
2022-06-01,21.5,88.33,-5.880714e-07
2022-06-01,21.0,87.25,-5.517555e-07
2022-06-01,20.42,87.33,1.8937389e-07
2022-06-01,20.08,90.25,1.4535524e-07
2022-06-01,21.0,87.17,-4.0340672e-07
2022-06-01,21.5,88.42,-4.242976e-06
2022-06-01,21.0,87.08,-1.1873398e-07
2022-06-01,20.42,87.42,-5.351331e-07
2022-06-01,21.5,88.5,3.0717313e-06
2022-06-01,20.08,90.17,4.9128585e-07
2022-06-01,21.5,88.25,-5.4511565e-07
2022-06-01,21.0,87.0,1.2000324e-06
2022-06-01,21.5,88.58,-3.9569895e-07
2022-06-01,20.42,87.5,2.7970407e-07
2022-06-01,20.92,90.92,3.194685e-08
2022-06-01,20.08,90.08,3.7525783e-07
2022-06-01,21.5,88.67,1.8372681e-07
2022-06-01,20.42,87.58,7.510772e-07
2022-06-01,20.92,90.83,-4.740573e-07
2022-06-01,21.5,88.75,-1.6790927e-06
2022-06-01,20.92,90.75,-2.9137675e-07
2022-06-01,20.42,87.67,8.985381e-07
2022-06-01,20.08,90.0,-1.0604936e-09
2022-06-01,20.92,91.0,-1.3479112e-07
2022-06-01,21.5,88.83,9.1581563e-07
2022-06-01,20.42,87.25,9.912693e-07
2022-06-01,20.08,90.33,2.584545e-07
2022-06-01,21.0,88.17,-6.486379e-07
2022-06-01,20.33,90.92,3.86281e-07
2022-06-01,21.0,88.08,-7.758403e-08
2022-06-01,20.08,90.58,-9.759492e-07
2022-06-01,21.5,87.75,-8.25543e-08
2022-06-01,21.0,88.0,4.4638253e-07
2022-06-01,20.33,91.0,3.817316e-07
2022-06-01,21.5,87.83,-8.712205e-08
2022-06-01,21.0,87.92,-1.2536717e-06
2022-06-01,20.42,87.0,1.908803e-06
2022-06-01,20.08,90.5,-6.787053e-07
2022-06-01,21.0,87.42,-7.5802177e-07
2022-06-01,21.5,87.92,-9.1677265e-08
2022-06-01,21.0,87.75,6.829756e-08
2022-06-01,21.5,88.0,-8.001532e-08
2022-06-01,20.42,87.08,1.486847e-06
2022-06-01,20.08,90.42,1.664783e-08
2022-06-01,21.0,87.67,-1.0568432e-06
2022-06-01,22.0,90.92,-1.3215374e-06
2022-06-01,21.5,88.08,-1.8354557e-07
2022-06-01,21.0,87.58,3.0865056e-07
2022-06-01,20.42,87.17,7.5530984e-08
2022-06-01,21.5,88.17,-3.669798e-07
2022-06-01,21.0,87.5,-4.791536e-07
2022-06-01,21.0,87.83,6.482157e-07
2022-06-01,20.92,90.67,-2.1681116e-07
2022-06-01,20.92,90.58,-9.295904e-08
2022-06-01,21.5,88.92,5.414374e-07
2022-06-01,20.42,88.17,3.3492677e-07
2022-06-01,20.92,89.67,-2.1313313e-07
2022-06-01,20.08,89.58,-1.8466778e-08
2022-06-01,21.5,89.67,-6.692023e-07
2022-06-01,20.92,89.58,7.4026985e-07
2022-06-01,20.42,88.25,-4.086708e-08
2022-06-01,21.5,89.75,-1.1751147e-06
2022-06-01,20.92,89.5,1.275827e-06
2022-06-01,20.92,89.42,7.4723505e-07
2022-06-01,20.08,89.5,6.130832e-07
2022-06-01,20.42,88.33,1.6084638e-07
2022-06-01,21.5,89.58,-2.9701173e-06
2022-06-01,21.5,89.83,-1.3689381e-06
2022-06-01,20.42,88.42,3.7421512e-07
2022-06-01,20.92,89.25,8.1413395e-07
2022-06-01,20.08,89.42,-8.195266e-08
2022-06-01,21.5,90.0,-1.9116273e-07
2022-06-01,20.92,89.17,9.532701e-07
2022-06-01,20.42,88.5,5.1442527e-07
2022-06-01,21.5,90.08,-2.403313e-07
2022-06-01,20.92,89.08,1.1077165e-07
2022-06-01,20.92,89.0,-2.1615195e-08
2022-06-01,20.08,89.33,-2.5087738e-07
2022-06-01,20.42,88.58,5.0628813e-07
2022-06-01,20.92,89.33,4.6209087e-07
2022-06-01,20.92,89.75,-9.846111e-07
2022-06-01,21.5,89.5,-1.9136944e-07
2022-06-01,20.92,89.83,-6.473539e-07
2022-06-01,22.5,90.92,-1.1840906e-06
2022-06-01,20.42,87.75,3.8739398e-07
2022-06-01,20.92,90.5,2.1481564e-07
2022-06-01,20.08,89.92,-1.03188555e-07
2022-06-01,21.5,89.0,-2.8545046e-06
2022-06-01,20.92,90.42,5.6507747e-07
2022-06-01,20.42,87.83,2.3255231e-07
2022-06-01,21.5,89.08,2.9798258e-07
2022-06-01,20.92,90.33,5.0478303e-07
2022-06-01,20.92,90.25,3.920248e-07
2022-06-01,20.08,89.83,-3.329502e-07
2022-06-01,21.5,89.17,-1.1670184e-07
2022-06-01,20.42,87.92,-3.3499958e-07
2022-06-01,21.5,89.25,-2.4614093e-07
2022-06-01,20.92,90.17,1.1280159e-07
2022-06-01,20.92,90.08,1.3904565e-07
2022-06-01,20.42,88.0,-7.5610507e-07
2022-06-01,20.08,89.75,-3.6534578e-07
2022-06-01,21.5,89.33,-1.5835052e-07
2022-06-01,20.92,90.0,-1.4449353e-07
2022-06-01,22.25,90.83,-6.626311e-07
2022-06-01,21.5,89.42,-1.7682505e-07
2022-06-01,20.92,89.92,-2.256084e-07
2022-06-01,20.42,88.08,-6.5058316e-08
2022-06-01,20.08,89.67,-4.4690978e-07
2022-06-01,20.92,88.92,-1.1349818e-07
2022-06-01,21.5,87.67,-1.7514485e-07
2022-06-01,21.58,89.0,-2.3981418e-06
2022-06-01,20.42,90.42,-2.893442e-08
2022-06-01,20.75,89.25,9.82106e-08
2022-06-01,22.0,90.67,-7.169497e-07
2022-06-01,21.67,89.25,-4.9299274e-07
2022-06-01,20.75,89.17,-1.639413e-06
2022-06-01,20.5,88.67,-1.027182e-07
2022-06-01,20.0,90.25,-1.3961369e-08
2022-06-01,20.75,89.08,-7.4933354e-07
2022-06-01,21.67,89.33,-4.0245305e-07
2022-06-01,20.75,89.0,-2.2982168e-07
2022-06-01,20.5,88.75,-1.0062815e-07
2022-06-01,21.67,89.42,-4.921148e-07
2022-06-01,21.67,89.17,-5.0882164e-07
2022-06-01,20.75,88.92,-8.5707495e-07
2022-06-01,21.67,89.5,-5.040026e-07
2022-06-01,20.75,88.83,-9.170766e-07
2022-06-01,20.5,88.83,2.0919165e-07
2022-06-01,21.67,89.58,-4.944178e-07
2022-06-01,20.75,88.75,7.784971e-07
2022-06-01,20.75,88.67,6.629429e-07
2022-06-01,20.5,88.92,2.1958856e-07
2022-06-01,20.0,90.08,-2.2233668e-07
2022-06-01,21.67,89.67,-4.9060935e-07
2022-06-01,21.67,89.75,-3.3929805e-07
2022-06-01,20.75,88.58,-1.12233415e-07
2022-06-01,20.0,90.17,2.9389622e-07
2022-06-01,20.75,88.5,-7.8123463e-07
2022-06-01,20.0,90.33,7.666579e-08
2022-06-01,20.75,89.33,7.7791555e-07
2022-06-01,22.33,90.83,2.0588027e-06
2022-06-01,21.67,88.0,-3.597985e-07
2022-06-01,20.5,88.17,-3.337669e-07
2022-06-01,20.75,90.0,-2.8363775e-07
2022-06-01,21.67,88.08,-2.929651e-07
2022-06-01,20.75,89.92,-5.3655447e-07
2022-06-01,20.5,88.25,4.6353122e-07
2022-06-01,20.0,90.58,-1.1860316e-06
2022-06-01,21.67,88.17,-3.899694e-07
2022-06-01,20.75,89.83,-6.915736e-08
2022-06-01,20.75,89.75,2.3136803e-07
2022-06-01,20.5,88.58,3.978489e-07
2022-06-01,21.67,88.67,-2.092528e-06
2022-06-01,20.0,90.5,-9.749687e-07
2022-06-01,20.75,89.67,8.7498887e-07
2022-06-01,21.67,88.83,-2.3938112e-06
2022-06-01,20.75,89.58,5.066385e-07
2022-06-01,20.5,88.42,7.5818656e-07
2022-06-01,21.67,88.92,-1.4656772e-06
2022-06-01,20.75,89.5,-1.4910968e-07
2022-06-01,20.0,90.42,-2.420312e-07
2022-06-01,20.5,88.5,6.194784e-07
2022-06-01,21.67,89.08,-2.4610077e-07
2022-06-01,20.75,89.42,6.159924e-07
2022-06-01,20.5,88.33,5.82635e-07
2022-06-01,22.42,91.0,-1.0741819e-06
2022-06-01,20.5,89.0,-4.139803e-07
2022-06-01,20.0,90.0,-4.5533525e-07
2022-06-01,20.75,87.5,-8.8519005e-07
2022-06-01,20.5,89.5,2.0717598e-08
2022-06-01,21.67,90.58,-9.309534e-07
2022-06-01,20.75,87.42,-1.4955309e-06
2022-06-01,22.33,90.92,3.846274e-07
2022-06-01,20.0,89.58,-7.704213e-08
2022-06-01,20.5,89.58,3.206959e-08
2022-06-01,21.67,90.67,-9.3387644e-07
2022-06-01,20.75,87.33,-1.4337218e-06
2022-06-01,21.67,90.75,-9.311378e-07
2022-06-01,20.75,87.25,-1.3316717e-06
2022-06-01,21.67,90.5,-9.269701e-07
2022-06-01,20.5,89.67,6.0310646e-07
2022-06-01,22.67,90.92,-3.182605e-06
2022-06-01,21.67,90.83,-9.4422717e-07
2022-06-01,20.75,87.17,1.1861354e-07
2022-06-01,21.67,90.92,-9.656662e-07
2022-06-01,20.75,87.08,-1.3679109e-07
2022-06-01,20.5,89.75,3.305506e-07
2022-06-01,20.0,89.42,1.4704032e-07
2022-06-01,20.75,87.0,1.4051632e-06
2022-06-01,21.67,91.0,-9.593376e-07
2022-06-01,20.67,91.0,-1.4798282e-07
2022-06-01,20.5,89.83,-1.7848348e-07
2022-06-01,20.0,89.5,-3.044652e-08
2022-06-01,20.0,89.67,-1.735442e-07
2022-06-01,20.75,87.58,-8.6096514e-07
2022-06-01,20.5,89.42,-2.3612071e-07
2022-06-01,21.67,89.83,-3.809254e-07
2022-06-01,20.75,88.42,-1.4258734e-06
2022-06-01,21.67,89.92,-2.226849e-07
2022-06-01,20.75,88.33,-1.7960731e-06
2022-06-01,20.5,89.08,1.5168179e-07
2022-06-01,20.75,88.25,-2.59782e-07
2022-06-01,20.0,89.92,-1.460015e-07
2022-06-01,21.67,90.0,-1.8622019e-07
2022-06-01,20.75,88.17,-2.573032e-07
2022-06-01,20.5,89.17,6.4225355e-07
2022-06-01,21.67,90.08,-2.7776974e-07
2022-06-01,20.75,88.08,-4.449495e-07
2022-06-01,20.75,88.0,-4.0978017e-07
2022-06-01,20.0,89.83,-1.4147123e-07
2022-06-01,20.5,89.25,3.0891016e-07
2022-06-01,21.67,90.17,-9.393627e-07
2022-06-01,21.67,90.25,-1.0261981e-06
2022-06-01,20.75,87.92,-2.765272e-07
2022-06-01,20.75,87.83,-6.493219e-07
2022-06-01,20.5,89.33,-7.165318e-08
2022-06-01,20.0,89.75,-4.531522e-07
2022-06-01,21.67,90.33,-9.2679034e-07
2022-06-01,20.75,87.75,-6.031824e-08
2022-06-01,21.67,90.42,-9.541519e-07
2022-06-01,20.75,87.67,-3.485492e-07
2022-06-01,20.0,90.67,-5.2838436e-07
2022-06-01,22.5,90.83,1.5617115e-06
2022-06-01,20.75,90.08,-3.885001e-07
2022-06-01,21.67,87.92,-2.5650704e-07
2022-06-01,22.25,91.0,-9.940694e-07
2022-06-01,20.08,87.58,-2.8966663e-06
2022-06-01,20.83,88.58,1.3082547e-06
2022-06-01,20.42,90.92,1.0040533e-07
2022-06-01,21.58,89.67,-2.8995223e-07
2022-06-01,20.83,88.5,1.0917979e-06
2022-06-01,21.58,89.75,-1.7994768e-07
2022-06-01,20.83,88.42,8.837082e-07
2022-06-01,20.08,87.5,-1.3085712e-06
2022-06-01,20.42,91.0,8.776317e-08
2022-06-01,21.58,89.83,-1.8258062e-07
2022-06-01,20.83,88.67,1.2262736e-06
2022-06-01,20.83,88.33,-3.064494e-07
2022-06-01,20.83,88.25,-2.8783924e-07
2022-06-01,20.5,87.0,-4.846538e-07
2022-06-01,20.08,87.42,4.907446e-07
2022-06-01,20.83,88.17,-2.0535397e-07
2022-06-01,21.58,90.0,-1.547085e-07
2022-06-01,20.83,88.08,-6.60886e-07
2022-06-01,20.5,87.08,1.008607e-06
2022-06-01,20.83,88.0,-5.4690724e-07
2022-06-01,20.08,87.33,7.649626e-08
2022-06-01,21.58,90.08,-2.0172573e-07
2022-06-01,20.83,87.92,2.6342425e-07
2022-06-01,21.58,89.92,-1.7364697e-07
2022-06-01,20.5,87.17,-7.95393e-07
2022-06-01,21.58,89.58,-2.8682777e-07
2022-06-01,20.42,90.83,-1.8369127e-07
2022-06-01,20.08,87.92,1.9897354e-06
2022-06-01,20.83,89.5,5.1413485e-07
2022-06-01,20.83,89.42,1.5975762e-07
2022-06-01,21.58,89.08,-1.953156e-07
2022-06-01,20.42,90.5,7.910805e-08
2022-06-01,20.83,89.33,-1.3666566e-07
2022-06-01,20.83,89.25,-4.9906055e-07
2022-06-01,20.08,87.83,1.5729548e-06
2022-06-01,21.58,89.17,-2.8382954e-07
2022-06-01,20.42,90.58,-1.5854768e-07
